id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeConference,homeClassification,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayConference,awayClassification,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes
401541872,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,False,,3957.0,Tiger Stadium (AL),2695,West Alabama,Gulf South,ii,14.0,"[7, 7, 0, 0]",,,,2025,Angelo State,Lone Star,ii,38.0,"[7, 3, 21, 7]",,,,,,
401541833,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,False,,3718.0,Tom Benson Hall of Fame Stadium,2682,Walsh,Great Midwest Athletic,ii,24.0,"[14, 3, 7, 0]",,,,2699,West Liberty,Mountain East,ii,21.0,"[0, 0, 7, 14]",,,,,,
401541801,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,False,,4433.0,George P. Miller Stadium,2291,Indiana-Pennsylvania,Pennsylvania State Athletic,ii,24.0,"[7, 7, 0, 10]",,,,308,Ashland,Great Midwest Athletic,ii,17.0,"[7, 0, 0, 10]",,,,,,
401541787,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,True,,5891.0,Wilkins Stadium,2568,Southern Arkansas,Great American,ii,34.0,"[7, 10, 7, 10]",,,,199,Southeastern Oklahoma State,Great American,ii,19.0,"[7, 9, 3, 0]",,,,,,
401541782,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,True,,6073.0,Milam Stadium,2927,Southwestern Oklahoma State,Great American,ii,14.0,"[0, 0, 7, 7]",,,,2888,Ouachita Baptist,Great American,ii,38.0,"[7, 21, 3, 7]",,,,,,
401541855,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,False,,3925.0,Seibert Stadium,2535,Samford,Southern,fcs,69.0,"[14, 35, 13, 7]",0.9989409891171906,,,2560,Shorter,Gulf South,ii,14.0,"[7, 0, 7, 0]",0.0010590108828093525,,,2.7899141061,,
401540323,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,True,,3788.0,Kenneth P. LaValle Stadium,2619,Stony Brook,CAA,fcs,13.0,"[0, 3, 10, 0]",0.0017795417526463785,,,48,Delaware,CAA,fcs,37.0,"[7, 10, 7, 13]",0.9982204582473536,,,3.3903865124,,
401550360,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,False,,5802.0,Belhaven Bowl Stadium,2056,Belhaven,USA South,iii,47.0,"[13, 20, 7, 7]",,,,2398,Millsaps,Southern Athletic,iii,7.0,"[0, 0, 7, 0]",,,,,,
401540311,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,True,,3629.0,Barker-Lane Stadium,2097,Campbell,CAA,fcs,24.0,"[7, 7, 0, 10]",0.4003959477855617,,,2729,William & Mary,CAA,fcs,34.0,"[7, 17, 3, 7]",0.5996040522144384,,,3.2557304502,,
401554814,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,False,,5810.0,Coyer Field,2085,Buffalo State,Liberty League,iii,6.0,"[0, 3, 3, 0]",,,,2781,Brockport,Empire 8,iii,42.0,"[14, 7, 7, 14]",,,,,,
401531834,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,False,15546.0,4246.0,Center Parc Stadium,2247,Georgia State,Sun Belt,fbs,42.0,"[14, 7, 14, 7]",0.9688016320131437,1490.0,1490.0,227,Rhode Island,CAA,fcs,35.0,"[0, 14, 14, 7]",0.031198367986856268,,,6.8861501661,,
401540299,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,False,,3829.0,Memorial Stadium,282,Indiana State,MVFC,fcs,0.0,"[0, 0, 0, 0]",0.0012160464997517993,,,2197,Eastern Illinois,Big South-OVC,fcs,27.0,"[6, 12, 9, 0]",0.9987839535002482,,,2.3826799823,,
401558399,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,True,False,,5922.0,Wildcat Field,2347,Louisiana College,,,34.0,"[10, 14, 0, 10]",,,,2194,East Texas Baptist University,American Southwest,iii,14.0,"[7, 0, 0, 7]",,,,,,
401550240,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,False,,5918.0,Taylor Field,6353,Lakeland,NACC,iii,13.0,"[0, 0, 13, 0]",,,,272,Wisconsin-Platteville,Wisconsin,iii,80.0,"[35, 21, 7, 17]",,,,,,
401540534,2023,1,regular,2023-08-31 23:00:00+00:00,False,True,False,False,,3868.0,Paladin Stadium,231,Furman,Southern,fcs,45.0,"[7, 14, 3, 21]",0.9976874159074792,,,2635,Tennessee Tech,Big South-OVC,fcs,10.0,"[3, 7, 0, 0]",0.0023125840925207752,,,4.8583623232,,
401551497,2023,1,regular,2023-08-31 23:05:00+00:00,False,True,False,False,,4439.0,Eiler-Martin Stadium,2188,East Stroudsburg University,Pennsylvania State Athletic,ii,62.0,"[14, 6, 14, 28]",,,,2487,Pace,Northeast 10,ii,9.0,"[3, 3, 0, 3]",,,,,,
401540451,2023,1,regular,2023-08-31 23:30:00+00:00,False,True,False,False,,844.0,Stambaugh Stadium,2754,Youngstown State,MVFC,fcs,52.0,"[7, 10, 28, 7]",,,,2674,Valparaiso,Pioneer,fcs,10.0,"[3, 7, 0, 0]",,,,,,
401520174,2023,1,regular,2023-08-31 23:30:00+00:00,False,True,False,False,36526.0,3892.0,Pratt & Whitney Stadium,41,UConn,FBS Independents,fbs,14.0,"[7, 0, 7, 0]",0.020721389946961155,1260.0,1264.0,152,NC State,ACC,fbs,24.0,"[7, 3, 14, 0]",0.9792786100530388,1557.0,1553.0,3.6726577056,,
401549695,2023,1,regular,2023-08-31 23:30:00+00:00,False,True,False,False,,3960.0,Top Taggart Field,2222,Ferris State,GLIAC,ii,54.0,"[21, 7, 12, 14]",,,,2385,Mercyhurst,Pennsylvania State Athletic,ii,12.0,"[12, 0, 0, 0]",,,,,,
401545819,2023,1,regular,2023-08-31 23:30:00+00:00,False,True,False,True,,5933.0,Sea Foam Stadium,3066,Concordia University St Paul,Northern Sun,ii,43.0,"[13, 10, 7, 13]",,,,389,Upper Iowa University,Northern Sun,ii,20.0,"[0, 12, 0, 8]",,,,,,
